,alloy_name,phases,phase_code,R_delta,S_config,VEC,R_cov_delta,density_avg,E_delta,G_delta,B_delta,EN_Allen_avg,Vm_delta,E_coh_avg,E_coh_delta,H_ch_M_L_R,H_el_M_S_R
0,Al0.25MoNbTiV,BCC,2,0.186927553,0.528898165,0.217355027,0.161789271,0.381599858,0.836355214,0.393790914,0.564488914,0.251810799,0.135862356,0.668996547,0.44871266,0.725146199,0.065031587
1,Al0.25NbTaTiV,BCC,2,0.175385057,0.528898165,0.183979975,0.206437409,0.518926746,0.370830944,0.182050845,0.406718113,0.204118588,0.139079987,0.722260873,0.531771601,0.758528265,0.074321813
2,Al0.2MoTaTiV,BCC,2,0.187690627,0.517104901,0.220533604,0.169052031,0.561967967,0.692125597,0.32014027,0.368505289,0.222985836,0.137520554,0.696758199,0.491077729,0.740740741,0.086213304
3,Al0.3HfNbTaTiZr,BCC,2,0.24238165,0.674992754,0.137695705,0.239482194,0.608134894,0.464282625,0.19173225,0.429038213,0.066648731,0.19786856,0.754247734,0.441665888,0.777290448,0.120029729
4,Al0.5CoCrCuFeNiV1.2,BCC,2,0.1914906,0.805542831,0.61511591,0.303413645,0.424688897,0.378446174,0.25636787,0.181246099,0.693661888,0.1939113,0.37147467,0.284757028,0.725877193,0.082125604
5,Al0.5CoCrCuFeNiV1.4,BCC,2,0.190161851,0.800118218,0.604070305,0.31765736,0.420579765,0.378678429,0.257974681,0.177799475,0.684151061,0.192868238,0.376685041,0.290968889,0.716130604,0.083240431
6,Al0.5CoCrCuFeNiV1.6,BCC,2,0.188799143,0.792729971,0.593646988,0.329336102,0.416702133,0.378682023,0.259346706,0.174495835,0.675176056,0.191693341,0.381601869,0.295881898,0.707846004,0.083983649
7,Al0.5CoCrCuFeNiV1.8,BCC,2,0.187412521,0.783871493,0.583794812,0.338945384,0.413036975,0.37848573,0.260509184,0.171325561,0.666692832,0.190413806,0.386249283,0.299743244,0.700536062,0.084726867
8,Al0.5CoCrCuFeNiV2.0,BCC,2,0.186010185,0.77390864,0.574468085,0.346860808,0.409567291,0.378114471,0.261484169,0.168279916,0.658662047,0.189051771,0.390648834,0.302744039,0.69420078,0.085098476
9,Al0.5CrFe1.5MnNi0.5,BCC,2,0.250410446,0.525016237,0.517730496,0.058426728,0.38866924,0.341212096,0.202169483,0.410070424,0.698160981,0.193615934,0.29420434,0.30936997,0.694931774,0.067261241
10,Al0.5CrNbTi2V0.5,BCC,2,0.29291307,0.488281988,0.177304965,0.311320429,0.265791208,0.244202292,0.414071812,0.393533675,0.28446162,0.233633278,0.521874655,0.558287329,0.605750487,0.179487179
11,Al0.5HfNbTaTiZr,BCC,2,0.241673911,0.697468151,0.130883301,0.30190519,0.585012794,0.474516613,0.19882779,0.432820921,0.082053208,0.201287613,0.734517721,0.485162421,0.689327485,0.11965812
12,Al0.5MoNbTiV,BCC,2,0.183176525,0.565971567,0.202521671,0.227856515,0.358859707,0.860789943,0.405263203,0.581304735,0.265058635,0.130253046,0.643589649,0.500947636,0.657407407,0.060200669
13,Al0.5NbTaTiV,BCC,2,0.17047352,0.565971567,0.171000788,0.27646622,0.488557323,0.397077439,0.194496673,0.422067059,0.220015991,0.133591287,0.693894845,0.583152819,0.670321637,0.068376068
14,Al0.6MoTaTiV,BCC,2,0.181709002,0.574137446,0.197039778,0.268315254,0.510690503,0.746275635,0.346979341,0.422003894,0.246228099,0.128587059,0.654576823,0.56967816,0.632553606,0.075436641
15,Al0.75CoCrCu0.25FeNiTi0.5,BCC,2,0.312374345,0.769492241,0.556415216,0.277819173,0.390751628,0.436697882,0.26293726,0.264222679,0.681624346,0.315122216,0.353316519,0.192849503,0.520467836,0.190635452
16,Al0.75HfNbTaTiZr,BCC,2,0.240506595,0.710825872,0.123034228,0.360968362,0.558372113,0.48552319,0.20647962,0.436663028,0.099801845,0.204631685,0.711785314,0.530659063,0.596734893,0.118914902
17,Al0.75MoNbTiV,BCC,2,0.179545603,0.581803445,0.18924972,0.273856694,0.338513256,0.881800139,0.415055604,0.595514798,0.276911963,0.125090761,0.620857161,0.542482749,0.604044834,0.05574136
18,Al0.875CoCrFeNi,BCC,2,0.269634128,0.584986941,0.561374795,0.099389237,0.396706952,0.42539685,0.247105302,0.260535162,0.723747335,0.269914628,0.344086296,0.171333535,0.584551657,0.127090301
19,Al1.25CoCrFeMnNi,BCC,2,0.282918423,0.711691737,0.517730496,0.099802208,0.372616022,0.436014993,0.252379481,0.423306378,0.707308102,0.271029512,0.301655798,0.300640405,0.551900585,0.126718692
20,Al1.25CoCrFeNi,BCC,2,0.29848917,0.582881633,0.517730496,0.091485184,0.366390536,0.484190007,0.279853348,0.309023757,0.707070515,0.296081706,0.334628159,0.194105302,0.540448343,0.154960981
21,Al1.5CoCrFeNi,BCC,2,0.311285494,0.575180701,0.491940683,0.086640376,0.348476291,0.516394652,0.298137475,0.334970825,0.69721603,0.306620808,0.32903926,0.20523689,0.519249513,0.169082126
22,Al1.5CoCrFeNiTi,BCC,2,0.359725789,0.70484495,0.430441899,0.339042579,0.316812576,0.540323017,0.318952458,0.347958968,0.610207889,0.348383046,0.350706992,0.232063004,0.322124756,0.260869565
23,Al1.5MoNbTiV,BCC,2,0.169444197,0.575180701,0.156673114,0.354159457,0.288571966,0.929137276,0.436793712,0.626422204,0.306006494,0.111767915,0.565059236,0.627595404,0.503898635,0.045707915
24,Al2.5CoCrFeNi,BCC,2,0.336042387,0.522499686,0.408619749,0.069978206,0.290599497,0.609921801,0.352876747,0.408259805,0.665378465,0.322091086,0.310982816,0.231510938,0.473927875,0.199554069
25,Al2.8CoCrCuFeNi,BCC,2,0.321305167,0.638827081,0.477723222,0.053382432,0.313095436,0.59677696,0.359412623,0.395171261,0.684168443,0.313820115,0.296698438,0.235977032,0.589181287,0.17911557
26,Al2CoCrCuFeMnNiTiV,BCC,2,0.306189454,0.976563975,0.460992908,0.325048267,0.329520851,0.502707696,0.308931049,0.390624876,0.61500533,0.305212588,0.329457279,0.368694529,0.485867446,0.18729097
27,Al2CoCrFeMo0.5Ni,BCC,2,0.317525057,0.658078334,0.441352973,0.223606531,0.344908363,0.639253739,0.324357778,0.410275295,0.64858742,0.311462703,0.357645118,0.439152586,0.518518519,0.217019695
28,Al2CoCrFeNi,BCC,2,0.327541041,0.551612685,0.446808511,0.077819015,0.317126361,0.568938214,0.328556418,0.376507967,0.679970682,0.318126848,0.319258686,0.221189832,0.490009747,0.188034188
29,Al2CoCrFeNiTi,BCC,2,0.360083287,0.683454422,0.396149949,0.323664115,0.292202902,0.579262228,0.34138688,0.379127965,0.60164103,0.343922814,0.340775948,0.249544598,0.306042885,0.258639911
30,Al3CoCrCuFeNi,BCC,2,0.323584882,0.626812943,0.464539007,0.051207695,0.304574979,0.607600283,0.36556121,0.403659812,0.679321029,0.314850953,0.294572787,0.237144245,0.58162768,0.182088443
31,Al3CoCrFeNi,BCC,2,0.339928165,0.49128843,0.375886525,0.062949685,0.267862186,0.642561437,0.372711364,0.433134432,0.65287085,0.321877794,0.303889213,0.238175162,0.46588694,0.205871423
32,AlCoCrCuNiTi,BCC,2,0.337774348,0.714373348,0.541371158,0.362858431,0.362625122,0.496859725,0.328825827,0.322866284,0.633195629,0.349414647,0.339007406,0.258895585,0.454922027,0.24303233
33,AlCoCrFeMo0.1Ni,BCC,2,0.280721599,0.631692847,0.542761786,0.142788141,0.391825543,0.469315552,0.258497359,0.289179044,0.709166876,0.282670912,0.350138818,0.260308323,0.57285575,0.150501672
34,AlCoCrFeNb0.1Ni,BCC,2,0.288626772,0.631692847,0.539980531,0.185407706,0.388816903,0.452100948,0.263658232,0.291842102,0.70733256,0.295857677,0.352739615,0.302136537,0.545321637,0.151616499
35,AlCoCrFeNi,BCC,2,0.280893699,0.585938385,0.546099291,0.09666318,0.386096206,0.446656059,0.258855534,0.278252871,0.717910448,0.280426644,0.340775948,0.179923698,0.567982456,0.137495355
36,AlCoCrFeNi,BCC,2,0.280893699,0.585938385,0.546099291,0.09666318,0.386096206,0.446656059,0.258855534,0.278252871,0.717910448,0.280426644,0.340775948,0.179923698,0.567982456,0.137495355
37,AlCoCrFeNiSi0.2,BCC,2,0.294718515,0.65717309,0.528641571,0.106801524,0.36884047,0.4533735,0.266758692,0.288863101,0.727745203,0.276568983,0.344245011,0.181782117,0.530214425,0.137495355
38,AlCoCrFeNiSi0.4,BCC,2,0.305939655,0.68796584,0.512477016,0.114972234,0.352862935,0.459049481,0.273733015,0.298049907,0.736851457,0.272692675,0.347457107,0.182967218,0.498781676,0.136752137
39,AlCoCrFeNiSi0.6,BCC,2,0.315116782,0.704326909,0.497467072,0.121602596,0.338026654,0.463832075,0.279907742,0.306036312,0.745307265,0.268829461,0.350439767,0.183625653,0.472465887,0.136008919
40,AlCoCrFeNiTi,BCC,2,0.356097336,0.714373348,0.470449173,0.356064183,0.345523863,0.49107456,0.29126982,0.307666772,0.620202559,0.350408647,0.36229321,0.20646953,0.351851852,0.259383129
41,AlCoCrFeNiTi0.5,BCC,2,0.329858304,0.697468151,0.50483559,0.276578863,0.363965837,0.472669885,0.277471976,0.295712296,0.664615236,0.328345968,0.352512636,0.197607349,0.436890838,0.211445559
42,AlCoFeNi,BCC,2,0.304893399,0.428746695,0.588652482,0.028765922,0.384825379,0.472004259,0.229717033,0.315810027,0.759228412,0.314747459,0.341660219,0.204966359,0.535331384,0.169082126
43,AlCrFeNi,BCC,2,0.304893399,0.428746695,0.482269504,0.089093176,0.34458251,0.506875169,0.293749577,0.314772667,0.68516791,0.29021395,0.328838289,0.193658031,0.544834308,0.153102936
44,AlCrFeNiMo0.2,BCC,2,0.301678597,0.517104901,0.477203647,0.179193521,0.360473456,0.556360894,0.289636343,0.340483726,0.66549269,0.290744989,0.352145147,0.356015372,0.559697856,0.177629134
45,AlCrFeNiMo0.5,BCC,2,0.296555587,0.565971567,0.470449173,0.256000667,0.381661385,0.592942535,0.282711361,0.361061919,0.639259062,0.289489858,0.383220957,0.468163688,0.579678363,0.205128205
46,AlCrMoNbTi,BCC,2,0.268061659,0.585938385,0.205673759,0.371395945,0.341852584,0.872511736,0.422127915,0.603873605,0.325,0.210600233,0.557599204,0.655959941,0.54337232,0.16722408
47,AlHfNbTaTiZr,BCC,2,0.239097975,0.714373348,0.115839243,0.406547292,0.533951489,0.494850308,0.213008788,0.439666162,0.116071429,0.207137034,0.690947275,0.56878862,0.519736842,0.117800074
48,AlMoNbTiV,BCC,2,0.17604482,0.585938385,0.177304965,0.30789935,0.32020145,0.899922659,0.423438522,0.607553729,0.287579957,0.12031915,0.600397922,0.576293392,0.562378168,0.052025269
49,AlMoTaTiV,BCC,2,0.17604482,0.585938385,0.177304965,0.326805378,0.467617434,0.789488217,0.368197967,0.463238085,0.265751599,0.120744764,0.619144468,0.625857681,0.559454191,0.066889632
50,AlNbTaTiV,BCC,2,0.161659288,0.585938385,0.14893617,0.362683615,0.436929304,0.436378169,0.21308088,0.445322461,0.247041578,0.123828193,0.645672599,0.659036762,0.545808967,0.059085842
51,AlNbTiV,BCC,2,0.180691093,0.428746695,0.127659574,0.358787726,0.230678716,0.251731127,0.115580427,0.375290951,0.291477878,0.133743093,0.545926827,0.622382369,0.477339181,0.054998142
52,CrMoNbTaVW,BCC,2,0.224052314,0.714373348,0.304964539,0.240116475,0.779017227,0.72597275,0.321449959,0.415832538,0.284981343,0.216172683,0.814745219,0.524092598,0.755116959,0.208101078
53,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.63,BCC,2,0.210794289,0.505832606,0.179574468,0.057796904,0.695148263,0.445042099,0.195442431,0.479080409,0.087632196,0.159237342,0.848764894,0.355157323,0.932017544,0.080267559
54,Hf0.5Mo0.5NbTiZr,BCC,2,0.282525035,0.550817192,0.163120567,0.144507885,0.455897581,0.88355574,0.370283952,0.606325608,0.094632862,0.234430642,0.730739472,0.324182313,0.8667154,0.179858789
55,Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC,2,0.231947425,0.504742446,0.127659574,0.132877113,0.481078791,0.440784858,0.165585683,0.356440973,0.063449494,0.202269754,0.698905715,0.406233078,0.916910331,0.120772947
56,Hf0.75NbTa0.5Ti1.5Zr1.25,BCC,2,0.238329781,0.540178966,0.134751773,0.119787655,0.50244752,0.420182384,0.157598178,0.354931099,0.059941365,0.199972199,0.727644523,0.379997457,0.928118908,0.11965812
